Calibration metrics:
x330: Cal. error 0.2390, RMSE 0.1124, R2 0.6967
x331: Cal. error 0.2520, RMSE 0.1113, R2 0.6802
x332: Cal. error 0.2420, RMSE 0.1110, R2 0.6673
x333: Cal. error 0.2270, RMSE 0.1104, R2 0.6723
x334: Cal. error 0.2210, RMSE 0.1076, R2 0.6906
x335: Cal. error 0.2100, RMSE 0.1027, R2 0.7092
x336: Cal. error 0.1950, RMSE 0.0960, R2 0.7253
x337: Cal. error 0.1720, RMSE 0.0912, R2 0.7357
x338: Cal. error 0.1570, RMSE 0.0892, R2 0.7326
x339: Cal. error 0.1230, RMSE 0.0905, R2 0.7203
x340: Cal. error 0.1140, RMSE 0.0931, R2 0.7012
x341: Cal. error 0.0960, RMSE 0.0970, R2 0.6811
x342: Cal. error 0.1030, RMSE 0.1025, R2 0.6626
x343: Cal. error 0.1000, RMSE 0.1083, R2 0.6455
x344: Cal. error 0.1040, RMSE 0.1101, R2 0.6313
x345: Cal. error 0.0800, RMSE 0.1151, R2 0.6127
x346: Cal. error 0.0960, RMSE 0.1273, R2 0.5917
x347: Cal. error 0.1060, RMSE 0.1297, R2 0.5721
x348: Cal. error 0.1140, RMSE 0.1276, R2 0.5528
x349: Cal. error 0.1230, RMSE 0.1259, R2 0.5352
x350: Cal. error 0.1470, RMSE 0.1234, R2 0.5240
x351: Cal. error 0.1770, RMSE 0.1157, R2 0.5191
x352: Cal. error 0.2150, RMSE 0.1086, R2 0.5205
x353: Cal. error 0.2430, RMSE 0.1066, R2 0.5157
x354: Cal. error 0.2890, RMSE 0.1103, R2 0.5003
x355: Cal. error 0.2830, RMSE 0.1180, R2 0.4913
x356: Cal. error 0.2830, RMSE 0.1283, R2 0.4828
x357: Cal. error 0.2870, RMSE 0.1287, R2 0.4877
x358: Cal. error 0.2930, RMSE 0.1252, R2 0.4990
x359: Cal. error 0.2670, RMSE 0.1209, R2 0.5259
x360: Cal. error 0.2470, RMSE 0.1189, R2 0.5519
x361: Cal. error 0.2520, RMSE 0.1169, R2 0.5789
x362: Cal. error 0.2580, RMSE 0.1140, R2 0.5973
x363: Cal. error 0.2550, RMSE 0.1061, R2 0.6077
x364: Cal. error 0.2160, RMSE 0.1074, R2 0.6031
x365: Cal. error 0.1910, RMSE 0.1100, R2 0.5895
x366: Cal. error 0.1620, RMSE 0.1131, R2 0.5701
x367: Cal. error 0.1610, RMSE 0.1171, R2 0.5554
x368: Cal. error 0.1620, RMSE 0.1211, R2 0.5364
x369: Cal. error 0.1530, RMSE 0.1236, R2 0.5184
x370: Cal. error 0.1580, RMSE 0.1311, R2 0.4954
x371: Cal. error 0.1260, RMSE 0.1386, R2 0.4768
x372: Cal. error 0.1030, RMSE 0.1466, R2 0.4601
x373: Cal. error 0.0790, RMSE 0.1380, R2 0.4430
